id,node1,node2,distance
3610,8888643815,8888728718,55.025
3611,8888643815,8888643816,47.893
3612,8888643815,2059583619,36.857
3613,8888643816,1273620803,24.411
3614,8888643816,8888643815,47.893
3615,8888643816,2059583619,84.709
3616,8888728717,4406252095,44.318
3617,8888728717,8888728718,38.756
3618,8888728717,649999001,128.109
3619,8888728718,1273695071,30.378
3620,8888728718,8888643815,55.025
3621,8888728718,8888728717,38.756
3622,8888728718,8888728719,20.745
3623,8888728719,8888728718,20.745
3624,9133769698,2166222106,36.07
3625,9312871446,650001527,53.302
3626,9312871507,610703592,25.356
3627,9312871507,9312871513,27.963
3628,9312871513,4332507067,53.942
3629,9414308158,589642443,13.192
3630,9414308158,9414308160,49.819
3631,9414308160,746787190,86.882
3632,9414308206,301455182,24.839
3633,9414308206,2722696811,176.57600000000002
3634,9416795275,4158625094,6.982
3635,9416795275,4224818789,225.82299999999998
3636,9821725584,499773518,18.183
3637,9826105373,2054187159,89.975
3638,9826105373,10719570227,5.926
3639,9826105373,9826105375,37.649
3640,9826105375,660661135,39.101
3641,9826105375,10719570228,5.716
3642,9826105375,9826105373,37.649
3643,9989609577,1836204832,18.403
3644,10011691220,650007624,6.427
3645,10011801326,5437755532,84.639
3646,10011801326,1273741177,154.51999999999998
3647,10018664099,650000855,15.719
3648,10204731266,4346558749,12.019
3649,10204731266,4346558755,23.692
3650,10681621804,317337890,13.266
3651,10687063396,650004936,10.848
3652,10687063396,650004940,183.393
3653,10687109942,2147072371,14.619
3654,10691273528,746787329,12.324
3655,10691273528,592287606,47.112
3656,10691273529,317337835,95.727
3657,10691273529,1273487046,12.005
3658,10691273530,1368340888,8.336
3659,10691273530,380988106,104.85600000000001
3660,10691273531,1403237264,7.813
3661,10691273531,3962773910,165.973
3662,10691359315,494548981,18.344
3663,10691359315,1409885140,134.00400000000002
3664,10691359316,10691359315,27.012
3665,10691359316,5381377898,73.34700000000001
3666,10697822828,499727087,10.678
3667,10697822829,499734194,8.552
3668,10697822831,499773065,11.055
3669,10719570227,9826105373,5.926
3670,10719570228,9826105375,5.716
